#{"t_start": 1716703457.7062922, "env_id": "None"}
r,l,t
-1.0,21,3.835981
5.0,21,3.843887
-7.0,21,3.852149
-1.0,21,3.859909
-1.0,21,3.868493
17.0,21,7.235661
5.0,21,7.243936
8.0,21,7.253005
-1.0,21,7.263449
-1.0,21,7.275083
-1.0,21,11.239134
-10.0,21,11.247385
8.0,21,11.255317
8.0,21,11.263344
8.0,21,11.271384
8.0,21,14.641623
17.0,21,14.650235
-10.0,21,14.658361
-1.0,21,14.666891
8.0,21,14.67507
-4.0,21,18.817528
-1.0,21,18.826365
8.0,21,18.835413
8.0,21,18.844199
11.0,21,18.853399
17.0,21,22.371567
23.0,21,22.379446
-1.0,21,22.38791
8.0,21,22.395755
-10.0,21,22.404823
-4.0,21,26.369346
17.0,21,26.37729
26.0,21,26.386066
8.0,21,26.393984
17.0,21,26.402603
20.0,21,29.711733
8.0,21,29.720191
11.0,21,29.728275
5.0,21,29.736674
-1.0,21,29.744887
8.0,21,33.672904
17.0,21,33.680624
17.0,21,33.688502
2.0,21,33.696116
21.0,21,33.704069
-1.0,21,37.725995
11.0,21,37.734586
-1.0,21,37.743335
30.0,21,37.751945
8.0,21,37.76079
17.0,21,41.143895
17.0,21,41.151977
5.0,21,41.160452
8.0,21,41.168512
8.0,21,41.176532
8.0,21,44.962435
8.0,21,44.970606
8.0,21,44.978715
2.0,21,44.986741
17.0,21,44.994982
-1.0,21,48.518317
26.0,21,48.526617
8.0,21,48.534843
2.0,21,48.542885
8.0,21,48.551004
20.0,21,52.513942
17.0,21,52.522036
8.0,21,52.530184
-7.0,21,52.538125
17.0,21,52.546214
-1.0,21,55.926635
17.0,21,55.934547
56.0,21,55.942359
8.0,21,55.950177
17.0,21,55.957859
-1.0,21,60.070648
50.0,21,60.081829
-27.0,18,60.093166
14.0,21,60.109681
11.0,21,60.126091
-1.0,21,63.931273
17.0,21,63.940173
-1.0,21,63.94864
14.0,21,63.957715
-18.0,20,63.965879
8.0,21,67.337318
8.0,21,67.345408
-1.0,21,67.353876
11.0,21,67.36255
-1.0,21,67.372312
-4.0,21,71.420643
8.0,21,71.429109
-10.0,21,71.437869
14.0,21,71.446419
20.0,21,71.455205
8.0,21,74.83689
40.0,21,74.845347
8.0,21,74.853979
8.0,21,74.865029
17.0,21,74.876711
8.0,21,79.420798
2.0,21,79.429216
8.0,21,79.437879
8.0,21,79.446274
5.0,21,79.454896
8.0,21,82.926769
-1.0,21,82.937961
9.0,21,82.946771
11.0,21,82.955468
17.0,21,82.963943
-2.0,21,86.951818
14.0,21,86.960583
20.0,21,86.969075
17.0,21,86.977475
17.0,21,86.985856
11.0,21,90.332136
17.0,21,90.342698
8.0,21,90.352644
8.0,21,90.363122
8.0,21,90.374947
8.0,21,94.357789
8.0,21,94.365719
17.0,21,94.373695
17.0,21,94.385932
17.0,21,94.396829
-1.0,21,97.523917
-1.0,21,97.531496
18.0,21,97.539203
-30.0,17,97.545289
5.0,21,97.553079
8.0,21,100.635376
-1.0,21,100.643661
8.0,21,100.651366
17.0,21,100.659217
8.0,21,100.666847
8.0,21,104.44575
5.0,21,104.453993
18.0,21,104.462125
17.0,21,104.470176
17.0,21,104.478395
8.0,21,108.156958
17.0,21,108.165257
-1.0,21,108.173295
8.0,21,108.181534
17.0,21,108.189705
8.0,21,112.079814
-13.0,21,112.088031
8.0,21,112.09617
17.0,21,112.104453
17.0,21,112.112891
17.0,21,115.348989
5.0,21,115.357421
-1.0,21,115.36552
11.0,21,115.373794
8.0,21,115.382161
5.0,21,119.305362
48.0,21,119.313767
8.0,21,119.323057
-1.0,21,119.331636
20.0,21,119.340161
17.0,21,123.245205
27.0,21,123.252936
56.0,21,123.260585
8.0,21,123.268275
5.0,21,123.276019
8.0,21,127.056346
26.0,21,127.064675
8.0,21,127.072836
18.0,21,127.080959
17.0,21,127.089135
17.0,21,130.249415
8.0,21,130.257306
8.0,21,130.26544
8.0,21,130.273521
14.0,21,130.281569
-4.0,21,133.486111
8.0,21,133.494083
5.0,21,133.501834
35.0,21,133.509757
14.0,21,133.517555
17.0,21,137.76107
8.0,21,137.769237
17.0,21,137.777509
40.0,21,137.785525
8.0,21,137.793172
14.0,21,141.001474
17.0,21,141.009479
11.0,21,141.017632
8.0,21,141.025706
11.0,21,141.033691
8.0,21,144.840135
20.0,21,144.848471
8.0,21,144.856696
8.0,21,144.864954
17.0,21,144.87306
8.0,21,148.16151
-1.0,21,148.171483
26.0,21,148.181009
14.0,21,148.189101
27.0,21,148.197613
-1.0,21,152.474894
-4.0,21,152.483248
17.0,21,152.491266
11.0,21,152.499624
2.0,21,152.50777
8.0,21,156.018497
17.0,21,156.026941
8.0,21,156.035259
14.0,21,156.04356
8.0,21,156.05184
11.0,21,159.300222
47.0,21,159.307911
20.0,21,159.3155
8.0,21,159.323484
17.0,21,159.332189
8.0,21,163.334965
-1.0,21,163.34338
8.0,21,163.352212
11.0,21,163.360525
14.0,21,163.369416
-1.0,21,167.740877
8.0,21,167.749119
17.0,21,167.757178
-1.0,21,167.764988
-1.0,21,167.772759
8.0,21,171.638088
8.0,21,171.645687
37.0,21,171.653475
5.0,21,171.661098
8.0,21,171.670473
8.0,21,174.978126
17.0,21,174.986552
-1.0,21,174.99583
5.0,21,175.007464
8.0,21,175.018604
5.0,21,178.858161
11.0,21,178.866312
2.0,21,178.874422
17.0,21,178.882299
5.0,21,178.890123
8.0,21,182.99939
8.0,21,183.007931
20.0,21,183.01643
28.0,21,183.024918
17.0,21,183.033495
11.0,21,187.056881
8.0,21,187.065271
17.0,21,187.07372
27.0,21,187.082397
8.0,21,187.090887
17.0,21,190.543532
8.0,21,190.552876
17.0,21,190.561268
8.0,21,190.569614
17.0,21,190.578004
29.0,21,194.534224
11.0,21,194.542677
17.0,21,194.551006
17.0,21,194.559211
37.0,21,194.567566
8.0,21,198.499291
8.0,21,198.507297
11.0,21,198.515135
17.0,21,198.523474
17.0,21,198.531589
17.0,21,201.880925
17.0,21,201.888748
17.0,21,201.896367
-4.0,21,201.904202
8.0,21,201.912181
17.0,21,205.877273
17.0,21,205.88541
-10.0,21,205.893631
17.0,21,205.901764
48.0,12,205.906405
20.0,21,209.169902
17.0,21,209.178027
8.0,21,209.186076
8.0,21,209.194
8.0,21,209.202114
11.0,21,213.060502
14.0,21,213.068867
8.0,21,213.077015
14.0,21,213.085184
27.0,21,213.093269
11.0,21,216.263783
11.0,21,216.271899
11.0,21,216.280022
12.0,21,216.287773
8.0,21,216.295469
8.0,21,220.044276
2.0,21,220.053257
8.0,21,220.062042
17.0,21,220.070819
2.0,21,220.079913
5.0,21,223.314871
18.0,21,223.325647
17.0,21,223.333905
-1.0,21,223.341934
60.0,21,223.349982
26.0,21,226.527383
8.0,21,226.535104
11.0,21,226.542813
8.0,21,226.550563
5.0,21,226.558095
36.0,21,230.330119
38.0,21,230.338337
2.0,21,230.346684
17.0,21,230.354959
8.0,21,230.363751
-10.0,21,233.433717
8.0,21,233.4417
8.0,21,233.449734
2.0,21,233.45779
8.0,21,233.465874
8.0,21,237.312574
23.0,21,237.320724
2.0,21,237.328974
8.0,21,237.337118
-4.0,21,237.345193
8.0,21,240.651622
17.0,21,240.660706
36.0,21,240.669437
17.0,21,240.678027
17.0,21,240.686455
2.0,21,244.699913
26.0,21,244.708103
8.0,21,244.71596
17.0,21,244.724119
5.0,21,244.732077
17.0,21,248.108863
-1.0,21,248.11702
8.0,21,248.125594
27.0,21,248.133778
17.0,21,248.142391
-1.0,21,252.06619
17.0,21,252.074866
26.0,21,252.08297
11.0,21,252.091366
-1.0,21,252.099563
17.0,21,255.453873
8.0,21,255.462278
23.0,21,255.470171
-1.0,21,255.478234
5.0,21,255.486173
20.0,21,259.258567
17.0,21,259.266875
17.0,21,259.275386
-1.0,21,259.2834
-10.0,21,259.291994
-10.0,21,264.078877
30.0,21,264.087559
11.0,21,264.096849
-1.0,21,264.1056
27.0,21,264.114424
8.0,21,267.596313
8.0,21,267.604789
8.0,21,267.614069
27.0,21,267.622529
27.0,21,267.631666
17.0,21,271.777999
17.0,21,271.786047
17.0,21,271.794806
2.0,21,271.802791
-13.0,21,271.811682
17.0,21,275.285418
-4.0,21,275.294858
17.0,21,275.30341
-15.0,16,275.310305
2.0,21,275.318874
20.0,21,279.986435
8.0,21,279.995728
37.0,21,280.004405
-4.0,21,280.014313
20.0,21,280.023061
17.0,21,283.642515
8.0,21,283.651319
17.0,21,283.659988
8.0,21,283.668627
17.0,21,283.677436
8.0,21,287.168478
5.0,21,287.17761
17.0,21,287.1864
8.0,21,287.195635
44.0,21,287.204247
14.0,21,291.979587
8.0,21,291.989931
11.0,21,291.999863
-1.0,21,292.008789
8.0,21,292.018328
11.0,21,295.761396
20.0,21,295.771914
53.0,21,295.782047
-1.0,21,295.79167
17.0,21,295.802223
8.0,21,300.107751
8.0,21,300.116682
17.0,21,300.125024
-33.0,15,300.131735
-1.0,21,300.139967
11.0,21,303.493461
17.0,21,303.501866
-1.0,21,303.509667
17.0,21,303.517687
17.0,21,303.525647
11.0,21,307.55273
8.0,21,307.560656
2.0,21,307.569227
8.0,21,307.577187
5.0,21,307.58741
5.0,21,310.990721
8.0,21,310.999483
8.0,21,311.007778
8.0,21,311.016381
18.0,21,311.024585
2.0,21,315.403178
17.0,21,315.411159
-1.0,21,315.420139
17.0,21,315.428582
17.0,21,315.437594
8.0,21,318.757936
17.0,21,318.766966
8.0,21,318.77553
8.0,21,318.784412
38.0,21,318.792966
8.0,21,322.203203
23.0,21,322.211156
8.0,21,322.219323
8.0,21,322.227205
8.0,21,322.235359
20.0,21,326.509004
8.0,21,326.517455
17.0,21,326.525514
8.0,21,326.534076
8.0,21,326.542068
17.0,21,330.046093
20.0,21,330.054895
18.0,21,330.063205
8.0,21,330.071986
8.0,21,330.08027
36.0,21,334.097081
20.0,21,334.105864
14.0,21,334.114197
56.0,21,334.12297
8.0,21,334.131554
17.0,21,337.662043
-1.0,21,337.670787
8.0,21,337.679342
14.0,21,337.688525
-10.0,21,337.696931
9.0,21,341.745803
31.0,21,341.754655
8.0,21,341.763407
20.0,21,341.772199
5.0,21,341.780545
17.0,21,345.246256
26.0,21,345.254985
11.0,21,345.263529
17.0,21,345.272166
-1.0,21,345.280448
8.0,21,349.235875
8.0,21,349.244506
17.0,21,349.254234
-1.0,21,349.262829
5.0,21,349.27206
17.0,21,352.802264
5.0,21,352.810177
17.0,21,352.81828
17.0,21,352.826333
-1.0,21,352.834291
14.0,21,356.205981
8.0,21,356.213984
17.0,21,356.222065
11.0,21,356.230061
14.0,21,356.238081
8.0,21,360.538646
21.0,21,360.547421
14.0,21,360.556422
8.0,21,360.565135
5.0,21,360.574276
9.0,21,364.229333
-4.0,21,364.238207
21.0,21,364.246523
-1.0,21,364.255275
8.0,21,364.2638
21.0,21,368.385952
24.0,21,368.394377
-1.0,21,368.402434
-30.0,21,368.410848
2.0,21,368.418831
8.0,21,371.91692
-1.0,21,371.925583
8.0,21,371.934004
8.0,21,371.942172
17.0,21,371.95013
26.0,21,376.186729
-1.0,21,376.195675
14.0,21,376.20439
-1.0,21,376.213143
5.0,21,376.222139
8.0,21,379.705806
20.0,21,379.714253
8.0,21,379.722822
2.0,21,379.731085
56.0,21,379.739563
2.0,21,383.91263
8.0,21,383.921962
-1.0,21,383.932317
8.0,21,383.942462
20.0,21,383.951655
26.0,21,387.440421
17.0,21,387.449261
14.0,21,387.458573
17.0,21,387.467054
17.0,21,387.475883
8.0,21,391.035567
8.0,21,391.044805
17.0,21,391.053537
57.0,21,391.062913
-1.0,21,391.071655
5.0,21,395.361148
26.0,21,395.369817
8.0,21,395.378869
-1.0,21,395.387187
8.0,21,395.396256
14.0,21,399.05963
17.0,21,399.071385
26.0,21,399.081465
8.0,21,399.090512
17.0,21,399.099448
14.0,21,403.342094
11.0,21,403.350981
8.0,21,403.360329
35.0,21,403.369065
23.0,21,403.378332
-1.0,21,407.370548
-1.0,21,407.380136
8.0,21,407.389359
-1.0,21,407.398771
8.0,21,407.40814
58.0,14,411.61807
-4.0,21,411.627306
17.0,21,411.636204
8.0,21,411.645278
23.0,21,411.654006
8.0,21,415.233656
-11.0,21,415.242562
29.0,21,415.251657
8.0,21,415.260828
27.0,21,415.269523
8.0,21,418.81144
-1.0,21,418.820117
17.0,21,418.829543
14.0,21,418.838188
20.0,21,418.847523
8.0,21,423.681451
17.0,21,423.690337
5.0,21,423.699708
8.0,21,423.708587
8.0,21,423.717459
8.0,21,427.413937
14.0,21,427.422704
8.0,21,427.431917
8.0,21,427.440652
-1.0,21,427.450028
15.0,21,431.774827
8.0,21,431.784088
26.0,21,431.793707
8.0,21,431.805608
8.0,21,431.817346
-10.0,21,435.534945
17.0,21,435.544951
17.0,21,435.554785
17.0,21,435.564601
20.0,21,435.573995
-1.0,21,439.969561
-1.0,21,439.977684
26.0,21,439.98678
17.0,21,439.995255
5.0,21,440.004682
23.0,21,443.45247
17.0,21,443.460874
